,location,price,title
0, (fremont / union city / newark),$9000,2013 Honda Civic LX
1, (richmond / point / annex),$8000,Honda Civic 2013 EX
2, (oakland east),$8000,Honda Civic 2013 EX
3, (vallejo / benicia),$8000,Honda Civic 2013 EX
4, (san jose west),$7200,"2008 Honda Civic EX, low mileage"
5, (san jose west),$6900,2009 Honda Civic - Low miles - 1 Owner
6, (mountain view),$5300,2008 Honda Civic Hybrid
7, (san carlos),$10700,2013 Honda Civic Cpe
8, (fremont / union city / newark),$7400,2010 Honda Civic Sedan 4D
9, (dublin / pleasanton / livermore),$6850,"2012 Honda Civic EX, 2 door"
10, (fremont / union city / newark),$10400,2012 Honda Civic Clean Title
11, (Palo Alto),$5800,"2008 Honda Civic EX, Clean Title"
12, (mendocino county),$8000,2011 Honda Civic SI Sedan
13,,$8900,Honda Civic 2010 Low Miles 64k
14, (fremont / union city / newark),$5950,2010 Nissan Sentra S (Toyota Corolla/Honda Civic/One Owner)
15, (noe valley),$9985,Honda Civic EX-L 2010
16, (concord / pleasant hill / martinez),$4100,2008 Honda Civic Hybrid 1.3 gas saver!
17, (SOMA / south beach),$9955,2012 HONDA CIVIC HYBRID 1 OWNER 69K MILES FULL SERVICE RECORDS SMOGGED
18, (fremont / union city / newark),$6000,2008 Honda Civic - low miles 117k
19, (fremont / union city / newark),$6000,"2008 Honda Civic - clean title , 117k miles , automatic"
20, (sunnyvale),$6500,09 Honda Civic
21, (san bruno),$13950,2013 HONDA CIVIC EX! SINGLE OWNER! 35K MILES
22, (emeryville),$4000,**2008 Honda Civic Hybrid Clean Title Smogged CarFax NAVIGATION**
23, (san jose east),$14500,2011 Honda Civic Si Coupe
24, (san jose west),$6900,2009 Honda Civic - Low miles - 1 Owner
25, (fairfield / vacaville),$7200,"2009 Honda Civic DX, Automatic with low 79k Miles"
26, (saratoga),$6900,"2010 Honda Civic EX, low mileage"
27, (san jose east),$12800,Clean Title 2012 Honda Civic LX
28, (vallejo / benicia),$8100,Honda Civic 2009
29, (san jose),$12500,Like New 2012 Honda Civic EX
30, (fremont / union city / newark),$6000,2008 Honda Civic clean
31,,$3600,2009 honda civic hybrid
32, (fairfield / vacaville),$6900,2010 Honda Civic LX gas saver
33, (downtown / civic / van ness),$5900,Civic 2008 clean title
34, (San Francisco),$9985,Honda Civic EX-L 2010 luxury features low miles
35, (cupertino),$5700,2008 Honda Civic LX - 147K miles - Low price $5700
36, (inner sunset / UCSF),$9850,2012 honda civic LX for sale by owner
37, (excelsior / outer mission),$3990,Honda Civic 2008
38, (hayward / castro valley),$7900,2013 Honda Civic super clean low miles 16k
39, (fremont / union city / newark),$12000,2012 Honda Civic LX 4-door
40, (san jose east),$5500,Honda
41, (palo alto),$11900,2013 Honda Civic EX 4D *CLEAN*
42, (pacifica),$9500,2012 Honda Civic Hybrid
43, (hayward / castro valley),$3950,HONDA CIVIC GX 2009 HOV CARPOOL NGV
44, (san jose east),$13000,Clean Title 2012 Honda Civic LX
45, (fremont / union city / newark),$8950,"2012 Honda Civic EX, Perfect Condition"
46, (san jose),$12800,Like New 2012 Honda Civic EX
47, (albany / el cerrito),$7800,Honda civic 2012 CNG Natural
48, (albany / el cerrito),$3200,2008 Honda CIVIC *negotiable*
49, (morgan hill),$1250,"2009 Honda Civic EX-L, 4 Door Sedan"
50, (san jose south),$10900,"2012 Honda Civic CNG (GX, NGV), original owner, 55k, warranty till 80k"
51, (albany / el cerrito),$10500,"2012 Honda Civic 4D, only 34k miles, in University Village"
52, (millbrae),$7999,2013 Honda Civic
53,,$5000,"Honda Civic, Low miles, Clean title"
54, (Sacramento),$5600,2008 Honda civic 125k
55, (dublin / pleasanton / livermore),$6850,"2012 Honda Civic EX, 2 door"
56," (hercules, pinole, san pablo, el sob)",$4800,2009 Honda Civic GX
57, (emeryville),$4000,2008 Honda Civic Hybrid CLEAN TITLE SMOGGED CAR FAX NAVIGATION
58, (capitola),$10000,2013 HONDA CIVIC LX clean title
59, (hayward / castro valley),$6999,2008 Honda Civic LX clean title LOW MILE
60, (berkeley),$8500,2010 Honda Civic LX Very Low miles!
61, (emeryville),$2100,2003 Honda civic
62, (fremont / union city / newark),$10400,2012 Honda Civic Clean Title
63,,$5700,2012..Ford.Fusion..SE..78000...MILES..PHOTO
64, (redwood city),$5900,2009 Honda Civic
65, (Manchester),$8000,Honda Civic with clean title
66, (brentwood / oakley),$3800,2008 honda civic coupe
67, (redwood city),$11000,Honda Civic Coupe LX 2D 2013
68, (concord / pleasant hill / martinez),$6200,2009 Honda Civic Hybrid
69, (daly city),$7900,2008 Honda Civic EX 63k mile clean title
70, (santa clara),$3999,2008 Red Honda Civic LX 4-Door
71, (hayward / castro valley),$7500,2012 Honda Civic
72, (twin peaks / diamond hts),$6500,2009 Honda Civic hybrid
73, (fremont / union city / newark),$7500,2011 HONDA CIVIC LX Sedan
74, (Los Altos),$10600,"Clean title, first owner 2012 Honda Civic LX Sedan with 63 K Miles"
75, (sunset / parkside),$8000,HONDA CIVIC LX
76, (dublin / pleasanton / livermore),$7300,2011 Honda Civic LX
77, (campbell),$5750,2008 Honda Civic Hybrid 185K
78, (san mateo),$10900,2009 Honda Civic Si Coupe Black 2D Manual - 1 owner
79, (fremont / union city / newark),$9900,2013 Honda Civic SI Coupe
