,location,price,title
0, (san jose downtown),$18000,2015 Subaru BRZ
1, (WEST SACRAMENTO),$21900,2017 SUBARU BRZ TECH SPORT BREMBO BRAKES
2, (LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
3, (LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
4, (LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
5, (LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
6, (LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
7, (LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
8," (Bozeman, MT)",$18837,2013 Subaru BRZ
9, (milpitas),$12500,2013 Subaru BRZ
10, (napa county),$15300,2013 Subaru BRZ Premium - One Owner
11, (gilroy),$22500,2015 SUBARU BRZ SERIES BLUE
12," (hercules, pinole, san pablo, el sob)",$27000,Subaru BRZ
13, (dublin / pleasanton / livermore),$15500,SUBARU BRZ 2031
14, (san jose north),$10000,2014 Subaru BRZ
15,,$23000,2017 BRZ limited with Performance Package
16, (danville / san ramon),$18500,"2013 Subaru BRZ Limited Manual, 25XXX miles"
17, (saratoga),$16880,BRZ 2-door Limited Coupe (Like the Toyota FR-S)
18, (cupertino),$27000,2017 Subaru BRZ Limited w/ PP
19, (san mateo),$19500,2008 BMW M5 (all NEW SMG components)
20, (napa county),$10000,2014 Ford Fiesta ST - Sell or Trade
21,,$14995,"2017 FIAT 124 SPIDER ABARTH WITH LOWWWW 8,000 MILES"
22, (inner sunset / UCSF),$20500,2016 Scion Frs (Located in Modesto)
23, (healdsburg / windsor),$22500,"2012 Infiniti G37S 6MT low miles, New showroom condition G37 Q60"
24,,$14777,"2017 FIAT 124 SPIDER ABARTH WITH 8,000 ORIGINAL MILES!!!!"
25,,$14995,"2017 FIAT 124 SPIDER ABARTH MIATA with 8,000 original miles!!!"
26, (san jose east),$3500,Honda civic Toyota mr2 spyder ssr razskull
27, (hollister),$11000,2003 Subaru STI Sedan
28, (santa cruz),$7000,2005 Impreza wrx
29, (hollister),$11400,2003 Subaru WRX Sedan
30, (inner richmond),$17500,2014 Scion FRS Monogram Series Clean Title
31, (hollister),$12000,2003 Subaru WRX Sedan
32, (santa clara),$7500,2007 BMW 328i Sale or Trade
33, (los gatos),$6999,2006 Nissan 350Z *updated*
34,,$17600,2015 Subaru crosstrek
35, (sonoma),$10500,2007 350z hr
36,(mod > LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
37,(mod > LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
38,(mod > LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
39,(mod > LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
40,(mod > LOS ANGELES),$10500,2017 toyota 86 / subaru brz / scion frs
41,(mod > Turlock),$9950,"2013 Honda CR-Z: Clean title, Low Miles!"
42,(mod > Turlock),$6700,2010 Mini Cooper S
43,(sac > Sacramento),$11800,2014 Subaru BRZ 6-Speed Manual
44,(sac > Fair Oaks),$21900,2017 SUBARU BRZ TECH SPORT BREMBO BRAKES
45,(sac > Sacramento),$12500,2013 Subaru BRZ Special Edition - Pearl White - Great Condition
46,(sac > South Sacrameto),$10700,2013 Subaru BRZ
47,(sac),$11000,2013 Scion FR-S frs brz
48,(sac > Lodi),$21500,Subaru BRZ Supercharged
49,(sac > Elk Grove),$17500,2014 Subaru BRZ Limited
50,(sac > Yuba City),$13500,Scion FR-S
51,(sac > Rancho Cordova),$5400,2002 Subaru Impreza WRX Wagon Turbo 108k Miles
52,(sac > Yuba City),$13500,Scion FR-S
53,(sac > Reno),$18500,2017 Toyota 86
54,(sac),$6000,2007 Audi A6 Sedan Quattro Clean Title Low Miles !!!
55,(sac),$13599,2016 scion frs fr-s 36k miles
56,(sac > Carmichael),$35000,"2007 Shelby GT500 with 2,905 miles from NEW."
57,(sac > Yuba City),$13500,Scion FR-S
58,(sac > Yuba City),$13500,Scion FR-S
59,(sac > Carmichael),$9000,2015 Hyundai Veloster Turbo Auto 59k Miles
60,(sac > Yuba City),$13500,Scion FR-S
61,(sac > Yuba City),$13500,Scion FR-S
62,(sac > Yuba City),$13500,Scion FR-S
63,(sac),$13500,Scion FR-S
64,(sac > Yuba City),$13500,Scion FR-S
65,(sac > Oroville),$20,2014 Scion FRS
66,(sac),$17500,2014 Scion FRS Monogram Series Clean title
67,(sac),$8500,2002 Subaru wrx sti
68,(sac > Sacramento),$1,2009 Infiniti Clean Title G37 Journey For Sale Or Trade
69,(sac),$17000,2013 Scion FRS
70,(gld > los angeles),$10500,2017 toyota 86 / subaru brz / scion frs
71,(gld > los angeles),$10500,2017 toyota 86 / subaru brz / scion frs
